id,party,party_name,party_id,position,eu_salience,eu_dissent,eu_blur,lrecon,lrecon_blur,lrecon_dissent,lrecon_salience,galtan,galtan_blur,galtan_dissent,galtan_salience,lrgen,immigrate_policy,immigra_salience,immigrate_dissent,multiculturalism,multicult_salience,multicult_dissent,redistribution,redist_salience,environment,enviro_salience,spendvtax,deregulation,econ_interven,civlib_laworder,sociallifestyle,religious_principles,ethnic_minorities,nationalism,urban_rural,protectionism,regions,russian_interference,anti_islam_rhetoric,people_vs_elite,antielite_salience,corrupt_salience,members_vs_leadership,eu_cohesion,eu_foreign,eu_intmark,eu_budgets,eu_asylum,party_a_econ,party_b_econ,party_c_econ,gender,dob,lrecon_self,galtan_self,cname,eu_position_sd,lrecon_sd,galtan_sd,eu_econ_require,eu_political_require,eu_googov_require
5,2,SP/SPA,103,6,3,2,,3,1,,8,4,5,,3,3,5,5,3,4,5,4,3,7,5,5,3,3,3,4,2,4,4,4,5,6,4,0,2,5,2,0,9,6,6,5,4,6,3,9,6,2,1958,4,3,bel,.42640144,.51492864,1.1381804,,,
9,2,SP/SPA,103,6,4,,2,3,,2,8,1,1,,6,3,3,5,4,1,8,4,1,10,2,4,1,0,0,3,0,0,0,0,2,6,7,,8,3,0,0,8,6,5,5,7,6,2,10,8,2,1963,6,6,bel,.42640144,.51492864,1.1381804,,,
2,2,SP/SPA,103,6,3,2,,3,,2,8,2,,3,2,3,4,5,7,3,5,6,1,9,3,4,2,4,4,4,2,2,2,4,4,4,6,0,3,2,6,1,6,4,5,5,5,6,3,9,6,2,1975,3,3,bel,.42640144,.51492864,1.1381804,,,
10,2,SP/SPA,103,7,2,,0,2,,2,10,4,7,,5,2,5,3,5,6,3,5,1,10,6,2,3,2,1,4,3,2,5,5,4,5,6,0,1,3,1,1,10,7,5,5,5,5,3,9,6,2,,6,3,bel,.42640144,.51492864,1.1381804,,,
10,3,ECOLO,104,7,3,,0,4,,8,8,1,5,,8,4,2,6,3,2,5,7,3,7,2,10,4,4,3,2,0,4,7,3,2,4,2,0,0,7,0,5,2,6,6,7,6,7,3,9,6,2,,6,3,bel,.51492864,.90453404,.79296148,,,
6,3,ECOLO,104,6,4,,1,2,1,,7,1,1,,6,2,2,7,1,1,7,2,1,7,0,10,1,2,2,1,0,1,1,1,2,8,7,0,0,8,3,6,2,6,5,5,3,5,4,9,7,1,1994,6,3,bel,.51492864,.90453404,.79296148,,,
5,3,ECOLO,104,7,4,2,,3,1,,6,3,3,,7,2,3,7,2,3,6,3,3,5,3,8,3,3,4,3,2,4,3,3,4,6,5,0,2,6,3,0,7,6,6,4,4,6,3,9,6,2,1958,4,3,bel,.51492864,.90453404,.79296148,,,
12,3,ECOLO,104,6,7,4,,2,3,,8,1,1,,9,1,1,6,3,3,6,6,2,7,1,10,2,2,3,1,1,4,2,2,2,6,2,,.d,7,3,7,5,6,6,6,6,5,3,9,6,2,1987,4,2,bel,.51492864,.90453404,.79296148,,,
4,3,ECOLO,104,7,3,,3,2,,3,5,2,,,,2,3,5,3,2,,,2,6,2,,3,,,3,,,,3,,,7,,,3,,,,,,,,,3,9,6,2,1974,5,4,bel,.51492864,.90453404,.79296148,,,
9,3,ECOLO,104,6,4,,3,2,,1,7,0,0,,7,2,2,6,2,0,9,2,0,9,0,10,1,0,0,2,0,0,0,0,1,7,10,,9,3,0,0,4,7,5,3,7,7,2,10,8,2,1963,6,6,bel,.51492864,.90453404,.79296148,,,
8,3,ECOLO,104,7,,,1,2,0,,5,0,1,,8,1,1,9,0,0,9,0,2,9,0,10,1,1,0,0,0,,0,0,,3,9,0,.d,8,1,0,3,,,,,,2,10,7,2,1966,3,1,bel,.51492864,.90453404,.79296148,,,
3,3,ECOLO,104,6,3,2,,3,3,,6,1,1,,2,3,3,4,3,3,4,2,3,7,1,10,2,3,3,3,3,2,4,3,2,7,4,0,3,6,6,3,5,,5,3,3,4,3,10,5,2,1983,7,3,bel,.51492864,.90453404,.79296148,,,
1,3,ECOLO,104,7,7,,1,1,,1,7,1,,1,8,1,1,3,1,1,3,2,1,9,1,9,2,1,1,2,1,1,1,1,1,5,5,1,7,5,2,3,4,7,7,5,5,7,2,10,7,2,1971,3,2,bel,.51492864,.90453404,.79296148,,,
2,3,ECOLO,104,7,5,2,,2,,4,5,1,,1,3,1,2,8,3,2,6,2,1,6,0,9,3,3,3,2,1,1,1,2,2,6,8,0,4,4,7,1,4,4,4,5,4,6,3,9,6,2,1975,3,3,bel,.51492864,.90453404,.79296148,,,
7,3,ECOLO,104,7,7,,1,3,1,,6,1,1,,5,3,1,5,1,1,4,1,1,7,0,9,0,1,1,2,1,0,1,1,0,7,9,0,0,,0,0,3,6,7,5,,7,3,9,7,2,1986,7,5,bel,.51492864,.90453404,.79296148,,,
